Ecotype,Size_Mb,Cell_radius,GCpct,Pmax,OGT,n
HLI,1.67230166666667,0.35,30.7933333333333,6.37,23.04,3
HLII,1.68259995652174,0.35,31.2169565217391,6.278,28.7917391304348,23
HLIII_IV,1.5270585,0.35,30.11,6.278,28.7917391304348,2
LLI,1.914916,0.35,34.907,5.26,21.578,10
LLII_III,1.74445438461538,0.35,36.4146153846154,5.26,19.2146153846154,13
LLIV,2.54374768181818,0.45,50.4045454545455,11.95,17.2881818181818,22
