Station,Cruise,Lat,Lon,Date,Depth,Temp,Orthophosphate,NitratePlusNitrite,Nitrite,Silicate,Ammonium,Salinity,Nutricline_1uM_Interp,PAR_MODIS_9km_8d_umolm2d1,PAR_OASIM_1deg_Monthly_umolm2d1,KDPAR_MODIS_OS_9km_8d,MLD_HYCOM_9km_8d,MLPAR_MODIS_9km_8d_umolm2d1,MLPAR_OASIM_1deg_Monthly_umolm2d1,FeT_CESM2,HLI,HLII,HLIII.IV,LLI,LLII.III,LLIV,SCCG
IN077,I09N,-10.652057,95.0000233,2016-04-04,7,30.482,0.055,0,0,1.2,0.036319237,34.0613,48.6,579.423842592593,445.003936320175,0.060991496,35.379326,237.486358405465,182.392156732639,0.0003848585,0.00617110252542729,0.983062771223405,0.00366000955569531,0.00251015948770263,0.00419225584586275,0.000403701361907042,8.24036508254872
IN078,I09N,-10.347142,94.9997233,2016-04-04,7,30.1998,0.06,0,0,1.2,0.04073713,34.0817,53.3,544.459907407407,420.771588268594,0.06515652,34.477783,216.728526823324,167.492969112829,0.00036146637,0.00634191893067551,0.981018552141908,0.00431251155465972,0.00291765461182613,0.00496031852593638,0.00044904423499386,6.66376379655934
IN080,I09N,-9.8164167,94.9999,2016-04-04,7,30.463,0.05,0,0,0.8,0.04073713,33.9643,40.9,486.936747685185,420.771588268594,0.06397625,30.83292,212.516519062888,183.639689722528,0.00036146637,0.00659748207610097,0.981096577461823,0.00418205076765399,0.00286754624531332,0.00474595089145822,0.000510392557650638,5.35618976814617
IN084,I09N,-8.7295217,94.99947,2016-04-05,7,30.7877,0.01,0,0,1.3,0.036623072,33.9057,52.6,593.806550925926,466.617654871058,0.058261637,16.9034,377.750260065812,296.838996141068,0.00032871153,0.00566399234356586,0.983127600935239,0.00358273319791811,0.00270374712807053,0.00451404074336804,0.000407885651838163,6.98430636500588
IN088,I09N,-7.673305,95.000645,2016-04-05,7,31.4089,0.06,0,0,1.2,0.02874909,33.745,68.1,622.111608796296,503.27456291811,0.051199503,18.743958,399.95941040188,323.558336814289,0.00031215232,0.00753124394619357,0.977819991406474,0.0048946847664622,0.00357958130692437,0.00554567403131421,0.000628824542631683,17.8222212049184
IN089,I09N,-7.3797417,95.0000117,2016-04-05,7,30.614,0.05,0,0,1.15,0.0242922,33.7259,61.3,617.618287037037,430.954561066726,0.054746617,19.638487,378.421358198415,264.050488373723,0.00031754456,0.0062514850245358,0.981668893599285,0.00413652189879622,0.00288983997586741,0.0045719050948607,0.000481354406654358,21.4048780944944
IN090,I09N,-7.134695,95.00006,2016-04-05,7,30.9906,0.04,0,0,1.1,0.0242922,33.7068,54.5,614.971712962963,430.954561066726,0.057968833,19.822624,365.568432992034,256.17988642255,0.00031754456,0.00566396882515239,0.983966804069626,0.00357128111360626,0.00252726188314496,0.00385241668594087,0.000418267422529852,11.5563379122696
IN091,I09N,-6.9995967,94.99998,2016-04-06,7,30.556,0.035,0,0,1.1,0.0242922,33.7605,58.45,619.663043981482,430.954561066726,0.057318766,20.222267,366.861944787934,255.139998945773,0.00031754456,0.00715270396731872,0.977761834659468,0.00502709663000097,0.00372907200456091,0.0055027938139045,0.000826498924747195,7.67778743633749
IN092,I09N,-6.59915,95.0003167,2016-04-06,7,30.469,0.03,0,0,1.1,0.0242922,33.8142,62.4,586.332291666667,430.954561066726,0.056418896,19.751005,353.518373415129,259.836201432944,0.00031754456,0.00590766696025465,0.983200961989593,0.00366282989529151,0.00251940213491233,0.00429682829614809,0.000412310723800398,14.2909777650485
IN093,I09N,-6.3694717,94.9999633,2016-04-06,7,30.43,0.03,0,0,1.15,0.022552835,33.8536,53.35,612.170787037037,507.859593801538,0.055687483,20.320719,366.502098572741,304.051762759634,0.00034112897,0.00757058398254238,0.977962235262144,0.00486857434317548,0.00358694413565063,0.00527974717809206,0.00073191509839546,8.69664990724265
